OBJECTID;Id da Instalação;Modalidade de Operação;Nome;Data Prevista;Data Prevista;Data Entrada;Data Entrada;Tipo de Usina;Tipo de Usina,x,y
79;ESUSOL;USINA QUE NÃO TEM RELACIONAMENTO DIRETO COM O ONS;USI SOL                                            ES       ;;;18/06/2007;19/06/2007;UTE;Térmica                       ,-40.22913300199997,-20.231567002999952
80;ESUTEV;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI VIANA                                          ES       ;30/01/2010;31/01/2010;05/01/2010;06/01/2010;UTE;Térmica                       ,-40.43874899999997,-20.377951003999954
81;ESUTLI;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE LUIZ OSCAR RODRIGUES DE MELO               ES       ;31/12/2010;01/01/2011;22/12/2010;23/12/2010;UTE;Térmica                       ,-39.80117800099998,-19.534747004999986
82;GOCACU;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UHE CACU                                       GO       ;29/06/2010;30/06/2010;23/07/2010;24/07/2010;UHE;Hidroelétrica                 ,-51.147778003999974,-18.53055600099998
83;GOENDA;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI DAIA                                           GO       ;31/12/2007;01/01/2008;14/07/2002;15/07/2002;UTE;Térmica                       ,-48.943889006999996,-16.40194400499996
84;GOFRCL;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI ENG.JOSE LUIZ MULLER DE GODOY PEREIRA          GO       ;30/07/2010;31/07/2010;09/07/2010;10/07/2010;UHE;Hidroelétrica                 ,-50.64361100599996,-19.115833006999992
85;GOMAXA;UTE COM CVU DECLARADO, QUE NÃO IMPACTA A REDE DE OPERAÇÃO E É DESPACHADA POR ORDEM DE MÉRITO;USI XAVANTES                                       GO       ;31/12/2007;01/01/2008;14/07/2002;15/07/2002;UTE;Térmica                       ,-49.25749999999999,-16.581667006999965
86;GOST  ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SALTO                                          GO       ;29/06/2010;30/06/2010;24/05/2010;25/05/2010;UHE;Hidroelétrica                 ,-51.172500007,-18.80861100599998
87;GOSV  ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SALTO DO RIO VERDINHO                          GO       ;30/07/2010;31/07/2010;05/07/2010;06/07/2010;UHE;Hidroelétrica                 ,-50.75277800099997,-19.139722004999953
88;GOTQR ;USINA PERTENCENTE A CONJUNTO DE USINAS;USI TERMICA QUIRINOPOLIS                           GO       ;;;21/11/2007;22/11/2007;UTE;Térmica                       ,-50.25777800399999,-18.434444002999953
89;GOUBV ;USINA PERTENCENTE A CONJUNTO DE USINAS;USI UTE BOA VISTA                                  GO       ;01/05/2011;02/05/2011;21/07/2008;22/07/2008;UTE;Térmica                       ,-50.435241005999956,-18.545123004000004
90;GOUCB3;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI CORUMBA III                                    GO       ;30/10/2009;31/10/2009;23/10/2009;24/10/2009;UHE;Hidroelétrica                 ,-47.941944003,-16.786111004999952
91;GOUCB4;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI CORUMBA IV                                     GO       ;30/03/2006;31/03/2006;31/03/2006;01/04/2006;UHE;Hidroelétrica                 ,-48.187222204999955,-16.322500005999984
92;GOUCD ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI CACHOEIRA  DOURADA                             GO       ;;;30/01/1959;31/01/1959;UHE;Hidroelétrica                 ,-49.48638890699999,-18.499166704999993
93;GOUHBC;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI BARRA DOS COQUEIROS                            GO       ;29/06/2010;30/06/2010;18/06/2010;19/06/2010;UHE;Hidroelétrica                 ,-51.00305600499996,-18.723333002000004
94;GOUHCB;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI CANA BRAVA                                     GO       ;30/09/2002;01/10/2002;13/05/2002;14/05/2002;UHE;Hidroelétrica                 ,-48.141666703,-13.406944401999965
95;GOUHES;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI ESPORA                                         GO       ;30/08/2006;31/08/2006;06/09/2006;07/09/2006;UHE;Hidroelétrica                 ,-51.850000000999955,-18.666667007
96;GOUHSF;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SERRA DO FACAO                                 GO       ;30/07/2010;31/07/2010;12/07/2010;13/07/2010;UHE;Hidroelétrica                 ,-47.666667007,-18.06666700599999
97;GOUSBL;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI BATALHA                                        MG       ;30/05/2014;31/05/2014;16/05/2014;17/05/2014;UHE;Hidroelétrica                 ,-47.48944400299996,-17.34555600599998
98;GOUSCB;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI CORUMBA                                        GO       ;;;29/04/1997;30/04/1997;UHE;Hidroelétrica                 ,-48.54114000499999,-17.987029001999986
99;GOUSSM;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SERRA DA MESA                                  GO       ;;;08/03/1998;09/03/1998;UHE;Hidroelétrica                 ,-48.30083300199999,-13.826187007999977
